Job Satisfaction,Salary,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Year,Latitude,Longitude
7,77000,"Dallas, TX, US",Senior Architect,,6-10,,Unpaid Overtime,,"3,000",Full-time,8-10,31-35,Other,Licensed,,,,2024,32.7762719,-96.7968559
8,116000,"San Francisco, CA, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,15.0,"6,000",Full-time,11-15,31-35,Male,Licensed,,,,2024,37.7792588,-122.4193286
7,65000,"Austin, TX, US",Designer,,16-30,,,,,,3,31-35,Male,No,,,,2024,30.2711286,-97.7436995
8,115000,"New York, NY, US",Senior Architect,Starchitect,16-30,Yes,Unpaid Overtime,15.0,,Full-time,8-10,31-35,Female,No,,Washington University in St. Louis,,2024,40.7127281,-74.0060152
6,77000,"Washington, DC, US",Junior Architect,Corporate,501+,Yes,Paid Overtime,18.0,"10,000",Full-time,3,26-30,Male,Licensed,,Yale University,,2024,38.8950368,-77.0365427
7,87000,"Los Angeles, CA, US",Project Architect,Boutique,2-5,,No Overtime,10.0,,Full-time,8-10,31-35,Female,No,American University of Sharjah,"University of California, Los Angeles (UCLA)",,2024,34.0536909,-118.242766
4,76500,"Atlanta, GA, US",Intermediate Designer,Corporate,201-500,Yes,Unpaid Overtime,,550,Full-time,3-5,26-30,Male,No,Kennesaw State University,,,2024,33.7489924,-84.3902644
7,140000,"Sioux Falls, SD, US",Principal,,201-500,Yes,,,"12,000",Full-time,11-15,41-45,Other,Licensed,,,,2024,43.5476008,-96.7293629
9,80080,"Seattle, WA, US",Intermediate Architect,Corporate,11-15,Yes,Paid Overtime,21.0,0,Full-time,6-7,26-30,Male,Licensed,Arizona State University,Tulane University,,2024,47.6038321,-122.330062
5,100000,"Abilene, TX, US",Principal,,2-5,Yes,,15.0,"10,000",,11-15,41-45,Male,Licensed,,The University of Texas at Austin,,2024,32.44645,-99.7475905
8,57000,"Columbus, OH, US",Intermediate Architect,Individual,51-100,Yes,Paid Overtime,21.0,800,Full-time,2,21-25,Female,No,Kent State University,,,2024,39.9622601,-83.0007065
7,84000,"Ridgway, CO, US",Owner,Boutique,2-5,,,,,Full-time,3-5,26-30,Male,Licensed,,Kansas State University,,2024,38.1527685,-107.761726
8,80000,"New York, NY, US",Associate,Starchitect,101-200,Yes,Unpaid Overtime,20.0,,Full-time,3-5,26-30,Male,No,University at Buffalo,,,2024,40.7127281,-74.0060152
8,112000,"Seattle, WA, US",Designer,Corporate,51-100,Yes,No Overtime,14.0,"8,000",Full-time,8-10,31-35,Male,No,Illinois Institute of Technology (IIT),,,2024,47.6038321,-122.330062
7,100000,"Los Angeles, CA, US",Project Architect,Corporate,501+,Yes,No Overtime,,"5,000",Full-time,6-7,31-35,Male,Licensed,University of Southern California (USC),,,2024,34.0536909,-118.242766
9,76000,"Phoenix, AZ, US",Project Manager,Individual,2-5,Yes,Paid Overtime,10.0,"10,000",Full-time,3,26-30,Male,No,Arizona State University,,,2024,33.4484367,-112.074141
10,93000,"Washington, US",Intermediate Designer,,501+,Yes,,,,Full-time,3-5,26-30,Male,No,The Pennsylvania State University (Penn State),,,2024,38.8950368,-77.0365427
6,100000,"New York, NY, US",Owner,Corporate,501+,Yes,Paid Overtime,,,Full-time,8-10,31-35,Female,No,New York Institute of Technology (NYIT),,,2024,40.7127281,-74.0060152
6,100000,"New York, NY, US",Owner,Corporate,501+,Yes,Paid Overtime,,,Full-time,8-10,31-35,Female,No,,,,2024,40.7127281,-74.0060152
4,88000,"Portland, OR, US",Senior Designer,,201-500,,,,,,11-15,36-40,Female,No,,,,2024,45.5202471,-122.674194
5,109000,"Charlottesville, VA, US",Project Manager,,501+,Yes,No Overtime,,,Full-time,21-25,46-50,Male,Licensed,,,,2024,38.029306,-78.4766781
7,62000,"Des Moines, IA, US",Designer,,6-10,,,,,,2,36-40,Male,No,,Iowa State University,,2024,41.5868654,-93.6249494
6,77000,"San Francisco, CA, US",Designer,,16-30,Yes,,,,,2,31-35,Female,No,,,,2024,37.7792588,-122.4193286
6,74880,"Detroit, MI, US",Designer,Corporate,201-500,,No Overtime,15.0,"3,000",Full-time,6-7,26-30,Female,No,University of Detroit Mercy,University of Detroit Mercy,,2024,42.3315509,-83.0466403
6,68000,"New York, NY, US",Designer,Starchitect,101-200,Yes,Unpaid Overtime,20.0,,Full-time,3-5,26-30,Male,No,Mississippi State University,Cranbrook Academy of Art,,2024,40.7127281,-74.0060152
6,87500,"San Francisco, CA, US",Designer,Boutique,6-10,,No Overtime,8.0,,Full-time,6-7,36-40,Female,No,California College of the Arts,,,2024,37.7792588,-122.4193286
5,50000,"Portland, OR, US",Designer,,11-15,,,,,,3,26-30,Male,No,,,,2024,45.5202471,-122.674194
7,67500,"Salem, MA, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,14.0,"3,000",Full-time,3-5,26-30,Female,No,Wentworth Institute of Technology,Wentworth Institute of Technology,,2024,42.5195292,-70.8967226
