 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
14418,7,58000,year,"New York, NY, US",Intermediate Architect,,16-30,Yes,Unpaid Overtime,10.0,"3,000",Full-time,3-5,26-30,Female,No,,,,2020-07-01,2020
14417,4,62000,year,"Seattle, WA, US",Designer,Individual,16-30,Yes,Paid Overtime,10.0,"1,200",Full-time,3,26-30,Male,No,,,,2020-07-01,2020
14416,8,60000,year,"Seattle, WA, US",Designer,,101-200,Yes,Paid Overtime,16.0,"1,500",Full-time,3,26-30,Male,No,,,,2020-07-01,2020
14415,7,78000,year,"York, PA, US",Project Architect,,101-200,Yes,Paid Overtime,21.0,,Full-time,8-10,31-35,Female,Licensed,,,,2020-07-01,2020
14414,7,40000,year,"New Rochelle, NY, US",Junior Architect,Individual,11-15,,No Overtime,,,Full-time,3,26-30,Male,Licensed,New York Institute of Technology (NYIT),,,2020-07-01,2020
14411,9,70000,year,"New York, NY, US",Intermediate Designer,,2-5,,,,,,3-5,31-35,Male,No,,,,2020-07-01,2020
14410,9,50000,year,"Florida, US",BIM Specialist,Boutique,6-10,Yes,No Overtime,14.0,,Full-time,3,26-30,Male,No,Polytechnic University of Puerto Rico (PUPR),,,2020-07-01,2020
14409,8,75000,year,"Raleigh, NC, US",Project Manager,Corporate,201-500,Yes,No Overtime,14.0,"1,000",Full-time,2,26-30,Male,Licensed,Roger Williams University,Roger Williams University,,2020-07-01,2020
14408,7,68200,year,"Irvine, CA, US",Project Manager,Boutique,6-10,Yes,Unpaid Overtime,15.0,"5,000",Full-time,6-7,26-30,Female,No,,,,2020-07-01,2020
14407,7,44300,year,"Milwaukee, WI, US",Intern,,31-50,Yes,Unpaid Overtime,10.0,,Full-time,2,21-25,Female,No,Iowa State University,,,2020-07-01,2020
14406,5,68000,year,"New York, NY, US",Designer,Starchitect,101-200,Yes,Unpaid Overtime,,"3,700",,2,26-30,Female,No,,,,2020-07-01,2020
14404,6,64000,year,"New York, NY, US",Interior Designer,,31-50,,,,,,3-5,26-30,Female,No,,,,2020-07-01,2020
14403,8,55000,year,"New York, NY, US",Designer,Individual,11-15,Yes,Unpaid Overtime,5.0,"1,600",Full-time,2,26-30,Female,No,Lehigh University,University of Pennsylvania,,2020-07-01,2020
14401,4,50000,year,"New York, NY, US",Junior Designer,Boutique,2-5,Yes,Unpaid Overtime,10.0,,Full-time,2,26-30,Male,No,Pratt Institute,,,2020-07-01,2020
14400,8,70000,year,"Los Angeles, CA, US",Project Manager,Corporate,2-5,Yes,Unpaid Overtime,10.0,,Full-time,3,26-30,Male,No,,University of Oregon,,2020-07-01,2020
14399,5,73000,year,"San Francisco, CA, US",Designer,,16-30,,,,,,3-5,31-35,Female,No,,,,2020-07-01,2020
14398,8,31200,hour,"Des Moines, IA, US",Student Intern,Individual,11-15,,No Overtime,,,Full-time,1,18-20,Male,No,Iowa State University,,,2020-07-01,2020
14397,8,50000,year,"Seattle, WA, US",Associate,,11-15,Yes,No Overtime,,"3,000",,< 1,21-25,Female,No,,,,2020-07-01,2020
14396,8,54080,hour,"Bozeman, MT, US",Junior Architect,Individual,2-5,Yes,No Overtime,14.0,,Full-time,3-5,41-45,Male,Licensed,Montana State University,Montana State University,,2020-07-01,2020
14395,9,39999,year,"Pittsburgh, PA, US",Designer,Boutique,16-30,Yes,Unpaid Overtime,15.0,500,Full-time,< 1,26-30,Female,No,,Kansas State University,,2020-07-01,2020
14393,8,70000,year,"New York, NY, US",Intermediate Designer,Starchitect,101-200,Yes,Unpaid Overtime,20.0,"7,000",Full-time,3,26-30,Male,No,,University of Toronto,,2020-07-01,2020
14392,5,80000,year,"Philadelphia, PA, US",Project Architect,Corporate,101-200,Yes,Unpaid Overtime,15.0,"5,000",Full-time,8-10,26-30,Male,Licensed,University of Arkansas,,,2020-07-01,2020
14391,7,68000,year,"Boston, MA, US",Designer,Boutique,11-15,Yes,Unpaid Overtime,10.0,"5,000",Full-time,3,26-30,Male,No,,,,2020-07-01,2020
14389,4,85000,year,"Irvine, CA, US",Designer,Corporate,51-100,Yes,Unpaid Overtime,15.0,,Full-time,3-5,31-35,Male,No,University of North Carolina at Charlotte,,,2020-07-01,2020
14388,7,57000,year,"Philadelphia, PA, US",Designer,Corporate,31-50,,Unpaid Overtime,15.0,"5,000",Full-time,8-10,31-35,Male,No,Philadelphia University,New Jersey Institute of Technology (NJIT),,2020-07-01,2020
14387,5,70000,year,"Columbus, OH, US",Designer,Other,501+,Yes,No Overtime,21.0,,Full-time,6-7,31-35,Male,No,,,,2020-07-01,2020
14386,9,64000,year,"Chicago, IL, US",Designer,Boutique,6-10,Yes,Unpaid Overtime,10.0,,Full-time,3-5,26-30,Male,Licensed,University of Colorado at Boulder,University of Illinois at Urbana-Champaign,,2020-07-01,2020
14385,9,68000,year,"Washington, DC, US",Designer,Other,51-100,Yes,Unpaid Overtime,12.0,,Full-time,3-5,31-35,Male,No,,,,2020-07-01,2020
14383,5,90000,year,"Dallas, TX, US",Associate,,101-200,,,,,,8-10,31-35,Male,No,,,,2020-07-01,2020
14382,7,95000,year,"New York, NY, US",Project Manager,Boutique,51-100,Yes,Unpaid Overtime,22.0,"4,000",Full-time,11-15,36-40,Male,No,,Washington University in St. Louis,,2020-07-01,2020
14381,8,75000,year,"Philadelphia, PA, US",Intermediate Architect,Corporate,501+,Yes,Unpaid Overtime,,,,8-10,31-35,Female,Licensed,,,,2020-07-01,2020
14379,7,85000,year,"New York, NY, US",Project Manager,Corporate,11-15,Yes,Unpaid Overtime,10.0,"10,000",Full-time,6-7,26-30,Male,Licensed,Rensselaer Polytechnic Institute,,,2020-07-01,2020
14378,7,82500,year,"New York, NY, US",Designer,Boutique,51-100,Yes,Unpaid Overtime,10.0,"10,000",Full-time,3-5,31-35,Male,No,The Ohio State University,Yale University,,2020-07-01,2020
14376,8,60000,year,"Brooklyn, NY, US",Intermediate Architect,Boutique,2-5,,No Overtime,15.0,,Full-time,3,26-30,Male,No,,University of Pennsylvania,,2020-07-01,2020
14374,7,70000,year,"Wayne, NJ, US",Project Manager,Corporate,51-100,Yes,Unpaid Overtime,15.0,"2,000",Full-time,6-7,26-30,Female,No,Wentworth Institute of Technology,,,2020-07-01,2020
14373,7,110000,year,"Austin, TX, US",Project Architect,Corporate,51-100,Yes,,15.0,"5,000",,8-10,31-35,Male,Licensed,University of Cincinnati,,,2020-07-01,2020
14372,9,63000,year,"Los Angeles, CA, US",Senior Designer,Individual,6-10,Yes,No Overtime,5.0,,Full-time,3-5,36-40,Female,No,Woodbury University,,,2020-07-01,2020
14370,1,88000,year,"Seattle, WA, US",Designer,Corporate,501+,Yes,Unpaid Overtime,14.0,,Full-time,6-7,31-35,Female,No,University of Southern California (USC),University of Washington,,2020-07-01,2020
14369,6,58000,year,"Los Angeles, CA, US",Designer,Corporate,101-200,Yes,Unpaid Overtime,15.0,"2,000",Full-time,3-5,26-30,Female,No,Northeastern University,,,2020-07-01,2020
14368,1,72000,year,"New York, NY, US",Technical Architect,Corporate,101-200,Yes,No Overtime,14.0,,Full-time,8-10,31-35,Male,No,Boston Architectural College (BAC),,,2020-07-01,2020
14367,7,59000,year,"Atlanta, GA, US",Designer,Corporate,501+,Yes,Paid Overtime,17.0,,Full-time,< 1,21-25,Female,No,University of Southern California (USC),,,2020-07-01,2020
14364,7,85000,year,"Detroit, MI, US",Project Architect,Corporate,501+,Yes,No Overtime,21.0,"7,000",Full-time,11-15,36-40,Female,Licensed,Lawrence Technological University,Lawrence Technological University,,2020-07-01,2020
14361,10,37440,hour,"New York, NY, US",Intern,Boutique,6-10,,No Overtime,,,Full-time,3,21-25,Male,No,Cornell University,,,2020-07-01,2020
14360,9,105000,year,"Reston, VA, US",Project Manager,Corporate,16-30,Yes,Unpaid Overtime,28.0,"5,000",Full-time,21-25,46-50,Male,Licensed,University of Cincinnati,,,2020-07-01,2020
14359,6,55000,year,"Seattle, WA, US",Junior Designer,Corporate,16-30,Yes,No Overtime,17.0,,Full-time,3,26-30,Male,No,"California Polytechnic State University, San Luis Obispo",,,2020-07-01,2020
14358,10,56000,year,"San Francisco, CA, US",Designer,Boutique,31-50,Yes,No Overtime,,"3,475",Full-time,2,31-35,Male,No,University of Arizona,,,2020-07-01,2020
14357,6,82000,year,"New York, NY, US",Associate,Boutique,11-15,Yes,No Overtime,15.0,"2,000",Full-time,6-7,31-35,Male,No,,,,2020-07-01,2020
