 Peopleid,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year
8318,8,110000,year,"New York, NY, US",Associate,Boutique,51-100,Yes,Unpaid Overtime,22.0,"15,000",Full-time,8-10,31-35,Male,Licensed,Tulane University,Tulane University,,2015-10-01,2015
8317,8,68000,year,"Denver, CO, US",Senior Architect,Other,6-10,Yes,Unpaid Overtime,16.0,"12,000",Full-time,21-25,41-45,Male,Licensed,,,,2015-10-01,2015
8312,5,70000,year,"Portland, OR, US",Project Architect,Boutique,31-50,Yes,Unpaid Overtime,12.0,"2,500",Full-time,16-20,46-50,Male,No,Miami University,University of Oregon,,2015-10-01,2015
8311,8,87000,year,"Los Angeles, CA, US",Designer,Other,11-15,Yes,,37.0,"35,000",,2,31-35,Male,No,,,,2015-10-01,2015
8310,7,86500,year,"New York, NY, US",Project Manager,Starchitect,201-500,,,24.0,"10,000",Full-time,8-10,31-35,Male,No,,,,2015-10-01,2015
8309,9,44000,year,"Philadelphia, PA, US",Designer,Boutique,6-10,Yes,Paid Overtime,10.0,,Full-time,2,36-40,Male,No,,,,2015-10-01,2015
8304,7,105000,year,"New York, NY, US",Senior Architect,Corporate,51-100,Yes,No Overtime,15.0,,Full-time,> 40,66-70,Male,Licensed,Pratt Institute,,,2015-10-01,2015
8303,7,62000,year,"New York, NY, US",Intermediate Architect,Boutique,16-30,Yes,Unpaid Overtime,10.0,,Full-time,3,26-30,Female,Licensed,,,,2015-10-01,2015
8302,8,95000,year,"New York, NY, US",Project Manager,Other,101-200,Yes,Unpaid Overtime,15.0,"10,000",Full-time,6-7,31-35,Male,No,The Cooper Union,Yale University,,2015-10-01,2015
8301,9,48000,year,"Seattle, WA, US",Designer,,11-15,,,,"1,000",,2,36-40,Male,No,,,,2015-10-01,2015
8300,7,110000,year,"Los Angeles, CA, US",Principal,Boutique,16-30,Yes,No Overtime,,"10,000",Full-time,16-20,41-45,Male,No,,,,2015-10-01,2015
8299,8,80000,year,"New York, NY, US",Interior Designer,Boutique,2-5,Yes,Unpaid Overtime,15.0,"4,000",Full-time,8-10,31-35,Female,No,,,,2015-10-01,2015
8298,6,58000,year,"New York, NY, US",Intermediate Architect,Corporate,501+,Yes,Paid Overtime,15.0,"10,000",Full-time,6-7,26-30,Male,Licensed,New Jersey Institute of Technology (NJIT),New Jersey Institute of Technology (NJIT),New Jersey Institute of Technology (NJIT),2015-10-01,2015
8297,6,100000,year,"Santa Fe, NM, US",Senior Architect,Boutique,2-5,Yes,No Overtime,14.0,"15,000",Full-time,11-15,36-40,Male,Licensed,The University of New Mexico,,,2015-10-01,2015
8296,8,45000,year,"San Francisco, CA, US",Junior Designer,Other,16-30,Yes,No Overtime,,"3,000",Full-time,2,21-25,Female,No,UC Berkeley CED,,,2015-10-01,2015
8295,7,47000,year,"New York, NY, US",Office Manager,,201-500,Yes,Paid Overtime,,,Full-time,< 1,21-25,Male,No,,,,2015-10-01,2015
8294,7,60000,year,"San Francisco, CA, US",Designer,,16-30,,,,,,3-5,26-30,Female,No,,,,2015-10-01,2015
8291,6,40000,year,"Denver, CO, US",Intern,Boutique,6-10,Yes,No Overtime,15.0,,Full-time,2,31-35,Male,No,,,,2015-10-01,2015
8290,7,44720,year,"Ann Arbor, MI, US",Designer,Corporate,51-100,Yes,Paid Overtime,10.0,"1,200",Full-time,8-10,31-35,Female,No,University of Michigan,,,2015-10-01,2015
8289,4,43500,year,"New York, NY, US",Designer,Boutique,2-5,,Unpaid Overtime,10.0,,Full-time,3,26-30,Male,No,,Columbia University,,2015-10-01,2015
8288,10,85000,year,"New York, NY, US",Project Manager,Boutique,16-30,Yes,Unpaid Overtime,20.0,"10,000",Full-time,6-7,31-35,Female,No,,,,2015-10-01,2015
8279,5,50000,year,"Chicago, IL, US",Intern,Other,16-30,Yes,Unpaid Overtime,10.0,,Full-time,3,26-30,Female,No,Illinois Institute of Technology (IIT),,,2015-10-01,2015
8278,7,73500,year,"Miami, FL, US",Project Architect,Corporate,501+,,Unpaid Overtime,14.0,,Full-time,16-20,41-45,Male,Licensed,Florida A&M University,Florida A&M University,,2015-10-01,2015
8277,7,62400,hour,"San Diego, CA, US",Project Architect,Boutique,2-5,Yes,No Overtime,15.0,,Full-time,11-15,36-40,Female,Licensed,University of Southern California (USC),,,2015-10-01,2015
8276,10,66560,year,"Kansas City, MO, US",Project Architect,Corporate,201-500,Yes,Unpaid Overtime,17.0,"2,000",Full-time,8-10,31-35,Male,Licensed,The University of Kansas,,,2015-10-01,2015
8274,7,86000,year,"Los Angeles, CA, US",Junior Designer,Corporate,11-15,Yes,Paid Overtime,25.0,"35,000",Full-time,1,36-40,Male,No,Glendale Community College,,,2015-10-01,2015
8272,7,41000,year,"Los Angeles, CA, US",Designer,,11-15,Yes,No Overtime,14.0,,Full-time,2,21-25,Male,No,,,UCLA Extension / Cal Poly Pomona,2015-10-01,2015
8271,8,50000,year,"Boston, MA, US",Intermediate Architect,Corporate,101-200,Yes,Paid Overtime,10.0,"4,000",Full-time,8-10,31-35,Female,Licensed,Roger Williams University,,,2015-10-01,2015
8270,7,85000,year,"Chicago, IL, US",Principal,Boutique,11-15,Yes,Unpaid Overtime,10.0,,Full-time,31-40,61-65,Male,Licensed,,,,2015-10-01,2015
8267,10,56000,year,"Austin, TX, US",Job Captain,Corporate,31-50,,Unpaid Overtime,5.0,,Full-time,1,41-45,Male,No,Prairie View A&M University,Prairie View A&M University,,2015-10-01,2015
8266,8,47500,year,"Detroit, MI, US",Designer,Boutique,11-15,Yes,Unpaid Overtime,14.0,"1,500",Full-time,3,26-30,Male,No,Lawrence Technological University,,,2015-10-01,2015
8265,9,69000,year,"Washington, DC, US",Project Manager,,6-10,,Unpaid Overtime,13.0,"1,000",Full-time,3-5,31-35,Female,No,,,,2015-10-01,2015
8264,8,110000,year,"Norfolk, VA, US",Principal,,51-100,,,,,,21-25,46-50,Female,Licensed,,,,2015-10-01,2015
8263,8,60000,year,"Berkeley, CA, US",Intermediate Designer,Other,31-50,Yes,Unpaid Overtime,10.0,"3,000",Full-time,3-5,31-35,Female,No,,,,2015-10-01,2015
8262,6,65000,year,"Houston, TX, US",Project Manager,Boutique,6-10,Yes,Paid Overtime,10.0,"5,000",Full-time,6-7,31-35,Male,No,University of Houston,,,2015-10-01,2015
8261,8,45000,year,"Princeton, NJ, US",Designer,,16-30,Yes,Unpaid Overtime,,,Full-time,< 1,21-25,Male,No,,,,2015-10-01,2015
8259,6,25000,year,"Kansas City, MO, US",Draftsperson,Other,16-30,Yes,Paid Overtime,10.0,,Full-time,2,26-30,Male,No,,,,2015-10-01,2015
8258,10,48000,year,"Los Angeles, CA, US",Designer,Boutique,6-10,Yes,No Overtime,15.0,,Full-time,2,21-25,Female,No,"University of California, Berkeley",,,2015-10-01,2015
8257,3,35000,year,"Richmond, VA, US",Intern,Corporate,31-50,Yes,Unpaid Overtime,10.0,,Full-time,< 1,21-25,Female,No,Virginia Polytechnic Institute and State University (Virginia Tech),,,2015-09-01,2015
8255,6,35360,hour,"Baltimore, MD, US",Junior Architect,Corporate,6-10,Yes,Paid Overtime,8.0,,Full-time,2,26-30,Male,No,,Morgan State University,,2015-09-01,2015
8254,4,46000,year,"Charleston, SC, US",Intern,Corporate,201-500,Yes,Unpaid Overtime,10.0,500,Full-time,3-5,26-30,Female,No,,,,2015-09-01,2015
8253,4,24000,year,"Greenville, SC, US",Principal,Individual,1,,Unpaid Overtime,,,Freelance,26-30,46-50,Male,Licensed,,,,2015-09-01,2015
8251,10,45500,year,"San Francisco, CA, US",Designer,Boutique,2-5,Yes,,15.0,"1,000",Full-time,1,21-25,Female,No,UC Berkeley CED,,,2015-09-01,2015
8248,8,87000,year,"Phoenixville, PA, US",Project Architect,,2-5,,,,,,16-20,46-50,Male,No,,,,2015-09-01,2015
8247,8,105000,year,"Baltimore, MD, US",Project Manager,Corporate,501+,Yes,Paid Overtime,23.0,,Full-time,26-30,46-50,Male,No,,,,2015-09-01,2015
8246,7,75000,year,"New York, NY, US",Designer,Corporate,501+,Yes,,12.0,,Full-time,3-5,26-30,Female,Licensed,,University of Michigan,,2015-09-01,2015
8243,9,75000,year,"Santa Ana, CA, US",Senior Designer,,201-500,,No Overtime,20.0,,,16-20,41-45,Male,No,,,,2015-09-01,2015
8242,9,76000,year,"Irvine, CA, US",Project Architect,,101-200,,,,,,16-20,46-50,Male,No,,,,2015-09-01,2015
8241,9,67000,year,"Irvine, CA, US",Job Captain,,16-30,Yes,Unpaid Overtime,10.0,,,11-15,36-40,Female,No,,,,2015-09-01,2015
8239,7,77000,year,"Los Angeles, CA, US",Project Manager,Corporate,501+,Yes,No Overtime,15.0,"3,000",Full-time,11-15,31-35,Female,Licensed,,,,2015-09-01,2015
8237,7,51000,year,"Berkeley, CA, US",Designer,Boutique,11-15,Yes,Unpaid Overtime,10.0,"2,000",Full-time,3,26-30,Male,No,California College of the Arts,,,2015-09-01,2015
8235,8,50000,year,"Boston, MA, US",Designer,Corporate,31-50,Yes,,15.0,"2,000",Full-time,3-5,31-35,Female,No,Roger Williams University,,,2015-09-01,2015
8234,5,182000,year,"Miami, FL, US",Principal,Corporate,16-30,Yes,Unpaid Overtime,20.0,"40,000",Full-time,26-30,51-55,Male,Licensed,,,,2015-09-01,2015
8232,7,77000,year,"Boston, MA, US",Designer,Corporate,201-500,Yes,No Overtime,13.0,"4,000",Full-time,8-10,31-35,Female,Licensed,Syracuse University,,,2015-09-01,2015
8230,10,61000,year,"Los Angeles, CA, US",Intermediate Designer,Corporate,201-500,Yes,Paid Overtime,10.0,"3,500",Full-time,3-5,36-40,Male,No,University of Moratuwa,University of Moratuwa,,2015-09-01,2015
8229,7,100000,year,"San Francisco, CA, US",Senior Architect,Corporate,101-200,Yes,Unpaid Overtime,15.0,,Full-time,16-20,41-45,Female,Licensed,,,,2015-09-01,2015
8228,6,59000,year,"Norristown, PA, US",Designer,Individual,51-100,Yes,Unpaid Overtime,10.0,"3,000",Full-time,8-10,36-40,Male,No,The Pennsylvania State University (Penn State),,,2015-09-01,2015
8227,7,88000,year,"Tallahassee, FL, US",Senior Architect,Other,11-15,Yes,No Overtime,15.0,,Full-time,11-15,41-45,Male,Licensed,Florida A&M University,,,2015-09-01,2015
8226,7,78000,year,"San Francisco, CA, US",Job Captain,Corporate,101-200,Yes,Unpaid Overtime,15.0,,Full-time,8-10,41-45,Female,No,,California College of the Arts,,2015-09-01,2015
8225,8,95000,year,"New York, NY, US",Project Manager,Boutique,6-10,Yes,Unpaid Overtime,15.0,,Full-time,8-10,41-45,Male,Licensed,,,,2015-09-01,2015
8223,10,105700,year,"Houston, TX, US",Project Manager,Other,501+,Yes,Paid Overtime,50.0,"8,000",Full-time,16-20,41-45,Female,No,University of Houston,,,2015-09-01,2015
8222,7,58000,year,"New York, NY, US",Junior Architect,Other,11-15,Yes,No Overtime,10.0,,Full-time,1,26-30,Male,No,Connecticut College,Clemson University,,2015-09-01,2015
8221,9,78000,year,"New York, NY, US",Technical Architect,Corporate,501+,Yes,Unpaid Overtime,17.0,,Full-time,8-10,36-40,Female,Licensed,,,,2015-09-01,2015
8220,6,78000,year,"Brooklyn, NY, US",Project Manager,Boutique,6-10,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,No,,,,2015-09-01,2015
8219,3,74000,year,"White Plains, NY, US",Project Architect,Corporate,6-10,Yes,Unpaid Overtime,10.0,"4,000",Full-time,11-15,36-40,Male,Licensed,,,,2015-09-01,2015
8218,7,101000,year,"Newport Beach, CA, US",Associate,,16-30,,,,,,11-15,36-40,Male,No,,,,2015-09-01,2015
8215,8,40000,year,"Los Angeles, CA, US",Junior Designer,Corporate,6-10,Yes,Unpaid Overtime,20.0,,Full-time,< 1,21-25,Female,No,"University of California, Berkeley",,,2015-09-01,2015
8214,6,99000,year,"Phoenix, AZ, US",Project Manager,Corporate,101-200,Yes,Unpaid Overtime,20.0,"5,000",Full-time,16-20,56-60,Female,Licensed,,Rice University,,2015-09-01,2015
8212,7,62000,year,"San Francisco, CA, US",Project Manager,,31-50,,,,,,6-7,26-30,Female,No,,,,2015-09-01,2015
8211,8,62000,year,"San Francisco, CA, US",Job Captain,Boutique,31-50,Yes,Unpaid Overtime,20.0,"3,500",Full-time,3-5,26-30,Female,No,"University of California, Berkeley",,,2015-09-01,2015
8210,3,69500,year,"California, US",Designer,Starchitect,501+,Yes,Unpaid Overtime,25.0,,Full-time,6-7,31-35,Female,No,,,,2015-09-01,2015
8209,7,72000,year,"Oakland, CA, US",Project Architect,Boutique,11-15,Yes,No Overtime,15.0,"7,000",Full-time,11-15,36-40,Male,Licensed,,,,2015-09-01,2015
8208,7,83000,year,"New York, NY, US",Project Manager,Other,501+,Yes,Paid Overtime,15.0,,Full-time,26-30,46-50,Male,No,Pratt Institute,,,2015-09-01,2015
8207,9,48000,year,"Philadelphia, PA, US",Intern,Corporate,201-500,Yes,Paid Overtime,10.0,200,Full-time,3,21-25,Male,No,Drexel University,,,2015-09-01,2015
8206,6,65000,year,"Chicago, IL, US",Job Captain,Corporate,31-50,Yes,No Overtime,15.0,,Full-time,6-7,26-30,Male,Licensed,Illinois Institute of Technology (IIT),,,2015-09-01,2015
8204,10,150000,year,United States,Principal,Corporate,31-50,Yes,Unpaid Overtime,19.0,"5,000",Full-time,21-25,51-55,Male,Licensed,"California Polytechnic State University, San Luis Obispo",,,2015-09-01,2015
8203,7,50000,year,"Los Angeles, CA, US",Designer,Individual,16-30,Yes,No Overtime,15.0,"1,000",Full-time,2,36-40,Male,No,Kansas City Art Institute,"University of California, Los Angeles (UCLA)",,2015-09-01,2015
8201,9,66500,year,"Oakland, CA, US",Job Captain,Boutique,6-10,Yes,Paid Overtime,15.0,,Full-time,6-7,36-40,Female,No,,,,2015-09-01,2015
8200,5,53000,year,"San Francisco, CA, US",Designer,Other,16-30,Yes,,10.0,600,Full-time,2,26-30,Female,No,,,,2015-09-01,2015
8199,7,45000,year,"Indianapolis, IN, US",Junior Architect,Other,16-30,Yes,Unpaid Overtime,14.0,,Full-time,3-5,26-30,Male,No,,,,2015-09-01,2015
8198,5,40000,year,"Denver, CO, US",Intern,Corporate,101-200,Yes,Paid Overtime,15.0,,Full-time,1,26-30,Male,No,,,,2015-09-01,2015
8197,7,65000,year,"New York, NY, US",Designer,Boutique,16-30,Yes,No Overtime,10.0,"5,000",Full-time,3-5,26-30,Female,No,,Yale University,,2015-09-01,2015
8195,10,77000,year,"San Francisco, CA, US",Associate,Boutique,11-15,Yes,,,750,Full-time,8-10,31-35,Male,No,University of Southern California (USC),,,2015-09-01,2015
8193,7,42000,year,"Austin, TX, US",Designer,Corporate,11-15,Yes,Unpaid Overtime,10.0,"1,500",Full-time,3,26-30,Male,No,University of Oregon,,,2015-09-01,2015
8192,6,50000,year,"Portland, OR, US",Junior Architect,Boutique,16-30,Yes,No Overtime,10.0,,Full-time,3-5,26-30,Male,No,The University of Utah,,,2015-09-01,2015
8191,7,79000,year,"New York, NY, US",Associate,Corporate,501+,Yes,Unpaid Overtime,15.0,"3,000",Full-time,8-10,36-40,Male,Licensed,,,,2015-09-01,2015
8190,8,68000,year,"New York, NY, US",Intermediate Architect,Other,31-50,Yes,No Overtime,10.0,"2,000",Full-time,3,26-30,Male,No,,Columbia University,,2015-09-01,2015
8189,10,55000,year,"Seattle, WA, US",Designer,Boutique,31-50,Yes,Paid Overtime,15.0,"5,000",Full-time,3-5,26-30,Female,No,University of Idaho,University of Idaho,,2015-09-01,2015
8187,6,41760,year,"Pittsburgh, PA, US",Junior Architect,Corporate,6-10,Yes,No Overtime,15.0,"1,000",Full-time,2,21-25,Male,No,Carnegie Mellon University,,,2015-09-01,2015
8186,8,64000,year,"Miami, FL, US",Junior Designer,Corporate,501+,Yes,Paid Overtime,15.0,,Full-time,11-15,36-40,Female,No,Florida International University,Boston Architectural College (BAC),,2015-09-01,2015
8185,6,50400,year,"Boston, MA, US",Engineer,Other,201-500,Yes,Unpaid Overtime,10.0,,Full-time,1,21-25,Male,No,Northeastern University,,,2015-09-01,2015
8184,7,50000,year,"Philadelphia, PA, US",Intermediate Designer,Boutique,6-10,Yes,Unpaid Overtime,10.0,"1,000",Full-time,3-5,31-35,Male,Licensed,Temple University,,,2015-09-01,2015
8183,6,75000,year,"Culver City, CA, US",Intermediate Architect,Individual,16-30,Yes,Unpaid Overtime,10.0,,Full-time,8-10,36-40,Female,Licensed,,,,2015-09-01,2015
8180,9,46000,year,"Seattle, WA, US",Designer,Boutique,6-10,Yes,No Overtime,14.0,"2,500",Full-time,3,26-30,Female,No,,University of Idaho,,2015-09-01,2015
8178,5,96000,year,"New York, NY, US",Project Manager,Boutique,6-10,Yes,Unpaid Overtime,15.0,"5,000",Full-time,11-15,36-40,Male,No,,,,2015-09-01,2015
8177,8,145000,year,"Sunnyvale, CA, US",Office Manager,Other,101-200,Yes,Unpaid Overtime,10.0,,Full-time,31-40,61-65,Female,Licensed,"California Polytechnic State University, San Luis Obispo",,,2015-09-01,2015
8176,4,98000,year,"New York, NY, US",Project Architect,Corporate,501+,Yes,Unpaid Overtime,23.0,"2,500",Full-time,11-15,31-35,Male,No,Cornell University,,,2015-09-01,2015
8175,7,130000,year,"Georgia, US",Senior Architect,,16-30,,,,,,26-30,51-55,Male,No,,,,2015-09-01,2015
8172,5,62500,year,"Iowa City, IA, US",Junior Architect,,101-200,Yes,Unpaid Overtime,12.0,,Full-time,3-5,31-35,Male,Licensed,,,,2015-09-01,2015
8170,5,44928,year,"San Diego, CA, US",Junior Designer,Corporate,16-30,Yes,Unpaid Overtime,10.0,,Full-time,2,26-30,Male,No,NewSchool of Architecture + Design,,,2015-09-01,2015
8169,8,65000,year,"Dallas, TX, US",Project Manager,Other,31-50,Yes,Unpaid Overtime,15.0,"2,000",Full-time,6-7,31-35,Male,No,University of Louisiana at Lafayette,,,2015-09-01,2015
8168,8,75000,year,"Saint Louis, MO, US",Senior Architect,Corporate,101-200,Yes,Unpaid Overtime,12.0,,Full-time,26-30,51-55,Male,Licensed,ITT Technical Institute,,,2015-09-01,2015
8167,8,45000,year,"Portland, OR, US",Junior Architect,Starchitect,16-30,Yes,Unpaid Overtime,10.0,"2,250",Full-time,3,21-25,Male,No,,,,2015-09-01,2015
8166,7,41500,year,"Portland, OR, US",Designer,,11-15,Yes,Paid Overtime,15.0,300,Full-time,3,26-30,Male,No,,,,2015-09-01,2015
8165,7,72000,year,"New York, NY, US",Project Manager,Corporate,51-100,Yes,Unpaid Overtime,10.0,"3,000",Full-time,8-10,26-30,Female,No,,,,2015-09-01,2015
8161,8,75000,year,"Austin, TX, US",Senior Designer,Other,16-30,,Paid Overtime,10.0,,Full-time,3-5,26-30,Female,No,Georgia Institute of Technology,The University of Texas at Austin,,2015-09-01,2015
8160,6,74000,year,"New York, NY, US",Intermediate Architect,Corporate,31-50,Yes,No Overtime,15.0,"2,000",Full-time,8-10,31-35,Female,Licensed,,,,2015-09-01,2015
8159,4,45000,year,"San Francisco, CA, US",Interior Designer,Corporate,16-30,Yes,Unpaid Overtime,10.0,,Full-time,1,21-25,Female,No,San Jose State University,,,2015-09-01,2015
8157,8,45760,hour,"Cambridge, MA, US",Designer,Boutique,11-15,,No Overtime,14.0,250,Full-time,3,26-30,Male,No,Arizona State University,University of Maryland,,2015-09-01,2015
8156,10,41600,hour,"Los Angeles, CA, US",Junior Designer,Boutique,2-5,,No Overtime,11.0,,Full-time,1,26-30,Female,No,,,,2015-09-01,2015
8154,8,79500,year,"Los Angeles, CA, US",Project Manager,Boutique,2-5,Yes,No Overtime,10.0,,Full-time,6-7,36-40,Male,Licensed,,,,2015-09-01,2015
8152,10,52000,year,"New York, NY, US",Junior Designer,,31-50,,,,,,3-5,26-30,Female,No,,,,2015-09-01,2015
8151,7,75000,year,"Houston, TX, US",Project Manager,Corporate,16-30,Yes,Unpaid Overtime,14.0,,Full-time,8-10,31-35,Male,Licensed,University of Houston,,,2015-09-01,2015
8150,4,64168,year,"Tucson, AZ, US",Senior Architect,Boutique,11-15,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Licensed,University of Arizona,,,2015-09-01,2015
8145,8,86500,year,"Cambridge, MA, US",Senior Architect,Corporate,31-50,Yes,No Overtime,15.0,"5,000",Full-time,11-15,36-40,Male,Licensed,,,,2015-09-01,2015
8144,10,90000,year,"Santa Monica, CA, US",Senior Designer,Corporate,31-50,,,,"5,000",Full-time,11-15,46-50,Male,No,,,,2015-09-01,2015
8142,8,75000,year,"New York, NY, US",Senior Architect,Other,16-30,Yes,Paid Overtime,20.0,,Full-time,11-15,36-40,Male,Licensed,,University of Pennsylvania,,2015-09-01,2015
8141,8,60000,year,"Boston, MA, US",Job Captain,Corporate,51-100,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,No,New York Institute of Technology (NYIT),New York Institute of Technology (NYIT),,2015-09-01,2015
8139,10,112000,year,"Dallas, TX, US",Project Manager,Corporate,501+,Yes,No Overtime,20.0,"15,000",Full-time,21-25,41-45,Male,Licensed,,,,2015-09-01,2015
8138,9,100000,year,"Los Angeles, CA, US",Model Maker,,6-10,,,,,,26-30,56-60,Male,No,,,,2015-09-01,2015
8137,9,45000,year,"New York, NY, US",Designer,Starchitect,11-15,Yes,Unpaid Overtime,10.0,"2,000",Full-time,3-5,26-30,Male,No,,Columbia University,,2015-09-01,2015
8136,7,39000,year,"Anaheim, CA, US",BIM Specialist,Individual,31-50,Yes,Paid Overtime,10.0,"1,200",Full-time,3,21-25,Male,Licensed,,,,2015-09-01,2015
8135,7,68000,year,"Los Angeles, CA, US",Job Captain,Corporate,16-30,Yes,Unpaid Overtime,10.0,,Full-time,11-15,41-45,Male,Licensed,,,,2015-09-01,2015
8134,7,40000,year,"White Plains, NY, US",Junior Designer,Other,11-15,Yes,Unpaid Overtime,,,Full-time,3,26-30,Male,No,New York Institute of Technology (NYIT),,,2015-09-01,2015
8133,4,58000,year,"Baton Rouge, LA, US",Project Architect,Other,6-10,Yes,No Overtime,15.0,"5,000",Full-time,11-15,36-40,Male,Licensed,,,,2015-09-01,2015
8132,7,76000,year,"Charlottesville, VA, US",Intermediate Architect,Starchitect,16-30,Yes,Unpaid Overtime,10.0,,Full-time,8-10,36-40,Male,Licensed,Savannah College of Art and Design,Savannah College of Art and Design,,2015-09-01,2015
8131,9,43000,year,"Houston, TX, US",Interior Designer,Boutique,2-5,,Unpaid Overtime,14.0,"1,300",Full-time,2,26-30,Female,No,Louisiana State University,,,2015-09-01,2015
8130,9,80000,year,"Seattle, WA, US",Project Manager,Corporate,16-30,Yes,Unpaid Overtime,7.0,"1,000",Full-time,26-30,46-50,Male,No,,,,2015-09-01,2015
8129,7,47840,hour,"Eugene, OR, US",BIM Specialist,,11-15,,Paid Overtime,5.0,,Full-time,3-5,26-30,Male,No,,,,2015-09-01,2015
8128,10,80080,year,"Boston, MA, US",Project Architect,Other,6-10,Yes,Unpaid Overtime,15.0,10,Full-time,11-15,31-35,Female,Licensed,,,,2015-09-01,2015
8127,5,50000,year,"New York, NY, US",Junior Architect,Starchitect,51-100,Yes,Unpaid Overtime,10.0,"1,000",Full-time,3-5,26-30,Female,No,,,,2015-09-01,2015
8125,5,88000,year,"Seattle, WA, US",Senior Architect,Corporate,501+,Yes,Unpaid Overtime,20.0,"9,000",Full-time,21-25,46-50,Male,Licensed,,,,2015-09-01,2015
8124,10,79000,year,"Seattle, WA, US",CAD Manager,Other,16-30,Yes,Paid Overtime,15.0,"12,000",Full-time,11-15,31-35,Male,Licensed,,,,2015-09-01,2015
8123,8,76000,year,"Los Angeles, CA, US",Project Manager,,2-5,,,10.0,"2,000",Full-time,16-20,46-50,Female,No,,,,2015-09-01,2015
8122,6,60000,year,"Washington, DC, US",Junior Architect,Boutique,16-30,Yes,Unpaid Overtime,15.0,,Full-time,8-10,26-30,Female,No,Virginia Polytechnic Institute and State University (Virginia Tech),,,2015-09-01,2015
8121,7,56000,year,"Washington, DC, US",Intermediate Architect,Other,16-30,Yes,Unpaid Overtime,10.0,"1,500",Full-time,3,36-40,Male,Licensed,,,,2015-09-01,2015
8118,8,25000,year,"New York, NY, US",Junior Architect,Starchitect,11-15,,Unpaid Overtime,15.0,,Full-time,2,21-25,Male,No,Parsons The New School for Design,,,2015-08-01,2015
8116,8,84000,year,"Irvine, CA, US",Project Architect,Corporate,201-500,Yes,Unpaid Overtime,,,Full-time,16-20,51-55,Male,No,,,,2015-08-01,2015
8113,10,65000,year,"Omaha, NE, US",Interior Designer,Corporate,6-10,Yes,No Overtime,40.0,"2,000",Full-time,3-5,18-20,Male,Licensed,University of Nebraska-Lincoln,University of Minnesota,,2015-08-01,2015
8112,3,77000,year,"Oakland, CA, US",Junior Architect,Other,6-10,Yes,No Overtime,14.0,,Full-time,3-5,31-35,Female,Licensed,,,,2015-08-01,2015
8111,8,84000,year,"Hartford, CT, US",Designer,Corporate,101-200,Yes,Unpaid Overtime,21.0,,Full-time,21-25,51-55,Female,Licensed,,,,2015-08-01,2015
8109,7,54000,year,"Paramus, NJ, US",Junior Architect,Corporate,501+,Yes,Paid Overtime,15.0,,Full-time,2,21-25,Male,No,New Jersey Institute of Technology (NJIT),,,2015-08-01,2015
8108,9,75000,year,"Los Angeles, CA, US",Designer,Boutique,11-15,Yes,No Overtime,10.0,,Full-time,6-7,26-30,Male,Licensed,,University of Southern California (USC),,2015-08-01,2015
8107,7,69000,year,"Sacramento, CA, US",Designer,Individual,16-30,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,No,,,,2015-08-01,2015
8106,8,52000,year,"Seattle, WA, US",Designer,,101-200,Yes,Paid Overtime,14.0,"2,000",,1,31-35,Male,No,,,,2015-08-01,2015
8105,7,49000,year,"New York, NY, US",Junior Architect,Starchitect,201-500,Yes,Unpaid Overtime,18.0,"3,000",Full-time,2,21-25,Female,No,Rhode Island School of Design (RISD),,,2015-08-01,2015
8104,6,52000,year,"Weymouth, MA, US",Project Manager,Starchitect,2-5,,Unpaid Overtime,21.0,"2,000",Full-time,11-15,31-35,Male,No,,,,2015-08-01,2015
8103,6,200000,year,"Washington, DC, US",Principal,Boutique,11-15,Yes,Unpaid Overtime,10.0,,Full-time,21-25,36-40,Male,No,Arizona State University,,,2015-08-01,2015
8101,7,66000,year,"San Francisco, CA, US",Project Architect,Boutique,16-30,Yes,No Overtime,15.0,"1,500",Full-time,11-15,31-35,Female,No,Azusa Pacific University,University of Southern California (USC),,2015-08-01,2015
8100,8,58000,year,"Akron, OH, US",Project Architect,Corporate,31-50,Yes,Unpaid Overtime,21.0,"6,000",Full-time,11-15,31-35,Male,Licensed,,,,2015-08-01,2015
8099,7,52000,year,"Los Angeles, CA, US",Junior Designer,Individual,2-5,,No Overtime,5.0,,Full-time,2,26-30,Female,No,,University of Southern California (USC),,2015-08-01,2015
8096,8,45000,year,"Stuart, FL, US",Project Manager,Boutique,2-5,Yes,No Overtime,10.0,"2,500",Full-time,3,26-30,Male,Licensed,,,,2015-08-01,2015
8095,8,75000,year,"Portland, OR, US",Project Manager,,51-100,Yes,,10.0,,Full-time,6-7,26-30,Female,Licensed,,,,2015-08-01,2015
8093,7,55000,year,"Fort Collins, CO, US",Job Captain,,16-30,,,,,,11-15,41-45,Male,No,,,,2015-08-01,2015
8084,8,95000,year,"San Francisco, CA, US",Project Architect,Corporate,501+,Yes,Paid Overtime,15.0,"5,000",Full-time,11-15,36-40,Female,No,,,,2015-08-01,2015
8076,9,24000,year,"New York, NY, US",Intern,Starchitect,101-200,,,9.0,,,2,21-25,Male,No,,,,2015-08-01,2015
