id,Job Satisfaction,Salary,Salary Unit,Location,Job Title,Firm Type,Firm Size,Health Insurance,Overtime,Vacation Days,Annual Bonus,Work Status,Years of Experience,Age,Gender,Licensed,Undergraduate School,Graduate School,Post-Graduate School,Date,Year,Latitude,Longitude
5752,5,80000,year,"San Francisco, CA",Project Manager,Other,11-15,Yes,Unpaid Overtime,10.0,3000.0,Full-time,11-15,36-40,Male,No,,,,2014-07-01,2014,37.7792588,-122.4193286
5751,1,16640,hour,"San Juan, PR",Senior Designer,Other,6-10,,Unpaid Overtime,5.0,,Full-time,11-15,26-30,Male,Yes,University of Puerto Rico,University of Puerto Rico,,2014-07-01,2014,18.465299,-66.116666
5750,4,62500,year,"Minneapolis, MN",Project Architect,Corporate,201-500,Yes,Unpaid Overtime,15.0,,Full-time,16-20,41-45,Male,No,University of Minnesota,,,2014-07-01,2014,44.9772995,-93.2654692
5749,8,42000,year,"San Diego, CA",Project Manager,Individual,2-5,,Paid Overtime,10.0,2000.0,Full-time,3,26-30,Male,No,,,,2014-07-01,2014,32.7174202,-117.162772
5748,8,106000,year,"New York, NY",Senior Architect,Corporate,101-200,Yes,Unpaid Overtime,20.0,10000.0,Full-time,16-20,36-40,Male,Yes,,,,2014-07-01,2014,40.7127281,-74.0060152
5747,7,85000,year,"San Jose, CA",Project Architect,Other,201-500,Yes,Unpaid Overtime,10.0,5000.0,Full-time,11-15,36-40,Male,Yes,Wentworth Institute of Technology,,,2014-07-01,2014,37.3361663,-121.890591
5746,6,72000,year,"Costa Mesa, CA",Associate,Boutique,6-10,,,21.0,5000.0,Full-time,8-10,36-40,Female,No,Art Center College of Design,,,2014-07-01,2014,33.6633386,-117.903317
5745,4,61000,year,"San Francisco, CA",Intern,Corporate,16-30,Yes,Unpaid Overtime,12.0,,Full-time,6-7,31-35,Female,No,University of Pennsylvania,University of Michigan,,2014-07-01,2014,37.7792588,-122.4193286
5744,7,41600,hour,"Los Angeles, CA",Designer,Boutique,31-50,Yes,Paid Overtime,6.0,800.0,Full-time,3-5,26-30,Female,No,University of San Francisco,"University of California, Los Angeles (UCLA)",,2014-07-01,2014,34.0536909,-118.242766
5743,5,57200,year,"San Jose, CA",Senior Designer,Boutique,2-5,Yes,No Overtime,10.0,,Full-time,8-10,31-35,Male,No,"California Polytechnic State University, San Luis Obispo",Woodbury University,,2014-07-01,2014,37.3361663,-121.890591
5742,8,75000,year,New Jersey,Designer,Other,501+,Yes,,15.0,,Full-time,> 40,61-65,Male,Yes,,,,2014-07-01,2014,40.0757384,-74.4041622
5741,9,50000,year,"Richardson, TX",Junior Designer,Corporate,16-30,Yes,No Overtime,10.0,5000.0,Full-time,2,26-30,Male,No,,,,2014-07-01,2014,32.9481789,-96.7297206
5735,6,42000,year,Oregon,Interior Designer,Corporate,51-100,,No Overtime,14.0,2000.0,Full-time,2,26-30,Female,No,University of Oregon,,,2014-07-01,2014,43.9792797,-120.737257
5734,10,88000,year,"Los Angeles, CA",Project Architect,Other,51-100,Yes,Paid Overtime,10.0,,Full-time,6-7,36-40,Male,No,Woodbury University,,,2014-07-01,2014,34.0536909,-118.242766
5733,7,80500,year,"Cambridge, MA",Project Manager,Corporate,31-50,Yes,Unpaid Overtime,15.0,2500.0,Full-time,11-15,36-40,Male,Yes,,,,2014-07-01,2014,42.3656347,-71.1040018
5730,4,56000,year,"Philadelphia, PA",Project Manager,Corporate,16-30,Yes,Unpaid Overtime,10.0,,Full-time,6-7,31-35,Female,No,The Catholic University of America,The Catholic University of America,,2014-07-01,2014,39.9527237,-75.1635262
5729,7,75000,year,"New York, NY",Associate,,201-500,,,,,,6-7,26-30,Female,No,,,,2014-07-01,2014,40.7127281,-74.0060152
5728,9,29120,hour,"San Antonio, TX",Intern,,51-100,,Paid Overtime,,350.0,Full-time,1,26-30,Male,No,,,,2014-07-01,2014,29.4246002,-98.4951405
5727,6,75000,year,"Mineola, NY",Project Architect,Other,11-15,Yes,Paid Overtime,10.0,,Full-time,26-30,56-60,Male,Yes,New York Institute of Technology (NYIT),,,2014-07-01,2014,40.7492678,-73.6406845
5726,7,52000,year,"Seattle, WA",Draftsperson,Individual,6-10,Yes,No Overtime,14.0,,Full-time,6-7,31-35,Female,No,Virginia Polytechnic Institute and State University (Virginia Tech),University of Washington,,2014-07-01,2014,47.6038321,-122.330062
5725,4,68500,year,"Syracuse, NY",Project Architect,Other,31-50,Yes,Unpaid Overtime,15.0,,Full-time,11-15,36-40,Male,Yes,,,,2014-07-01,2014,43.0481221,-76.1474244
5724,8,80000,year,"New York, NY",Senior Architect,Corporate,51-100,Yes,Unpaid Overtime,,3000.0,Full-time,8-10,31-35,Female,No,,,,2014-07-01,2014,40.7127281,-74.0060152
5723,9,70000,year,"New York, NY",Intermediate Architect,Individual,2-5,Yes,Unpaid Overtime,10.0,,Full-time,6-7,26-30,Male,No,,,,2014-07-01,2014,40.7127281,-74.0060152
5722,10,45000,year,"New York, NY",Draftsperson,Corporate,16-30,Yes,,,,Full-time,< 1,26-30,Male,No,,New Jersey Institute of Technology (NJIT),,2014-07-01,2014,40.7127281,-74.0060152
5719,10,70000,year,"El Paso, TX",Associate,Other,31-50,Yes,Paid Overtime,20.0,2500.0,Full-time,16-20,36-40,Male,Yes,Universidad Autonoma de Ciudad Juárez,Universidad Nacional Autónoma de México (UNAM),,2014-07-01,2014,31.7601164,-106.4870404
5717,8,60000,year,"Chicago, IL",Project Architect,Corporate,201-500,Yes,Paid Overtime,15.0,,Full-time,6-7,26-30,Male,Yes,University of Notre Dame,,,2014-07-01,2014,41.8755616,-87.6244212
5713,10,60000,year,"Miami, FL",Associate,Corporate,101-200,Yes,No Overtime,10.0,2000.0,Full-time,3-5,26-30,Female,No,Florida Atlantic University,,,2014-07-01,2014,25.7741728,-80.19362
5712,7,65000,year,"New York, NY",Designer,Corporate,31-50,Yes,Unpaid Overtime,15.0,10000.0,Full-time,3-5,31-35,Male,No,Polytechnic University of Puerto Rico (PUPR),Polytechnic University of Puerto Rico (PUPR),Columbia University,2014-07-01,2014,40.7127281,-74.0060152
5710,9,56200,year,"Denver, CO",Designer,Other,6-10,Yes,Unpaid Overtime,15.0,1200.0,Full-time,11-15,36-40,Male,No,University of Colorado at Boulder,"University of California, Los Angeles (UCLA)",,2014-07-01,2014,39.7392364,-104.984862
5709,9,80000,year,"Los Angeles, CA",Project Architect,Boutique,6-10,,No Overtime,,,Freelance,26-30,51-55,Female,Yes,University of Michigan,Southern California Institute of Architecture (SCI-Arc),,2014-07-01,2014,34.0536909,-118.242766
5708,7,50000,year,"Chicago, IL",Interior Designer,Corporate,31-50,Yes,Paid Overtime,10.0,,Full-time,6-7,31-35,Female,No,"University of Maryland School of Architecture, Planning and Preservation",University of Illinois at Urbana-Champaign,,2014-07-01,2014,41.8755616,-87.6244212
5707,8,80000,year,"New York, NY",Job Captain,Individual,1,,No Overtime,,,Freelance,6-7,31-35,Male,No,Washington University in St. Louis,Yale University,,2014-07-01,2014,40.7127281,-74.0060152
5704,6,45000,year,"Chicago, IL",Draftsperson,Corporate,16-30,Yes,No Overtime,21.0,1000.0,Full-time,3-5,31-35,Male,Yes,,,,2014-07-01,2014,41.8755616,-87.6244212
5703,6,54000,year,"Phoenix, AZ",Senior Designer,Boutique,16-30,Yes,Unpaid Overtime,15.0,,Full-time,8-10,31-35,Female,Yes,,,,2014-07-01,2014,33.4484367,-112.074141
5702,3,46000,year,"Chicago, IL",Designer,Corporate,31-50,Yes,Paid Overtime,10.0,,Full-time,3,26-30,Male,No,,,,2014-07-01,2014,41.8755616,-87.6244212
5700,8,135000,year,"New York, NY",Project Manager,Other,16-30,Yes,Unpaid Overtime,20.0,,Full-time,21-25,41-45,Female,Yes,,,,2014-07-01,2014,40.7127281,-74.0060152
5698,6,50000,year,"West Orange, NJ",Intermediate Architect,Individual,16-30,Yes,No Overtime,18.0,2000.0,Full-time,3-5,26-30,Female,No,,,,2014-07-01,2014,40.7987113,-74.2390353
5697,6,62500,year,"Charlotte, NC",Associate,Boutique,16-30,Yes,Unpaid Overtime,13.0,5000.0,Full-time,11-15,36-40,Male,No,,,,2014-07-01,2014,35.2272086,-80.8430827
5696,7,50000,year,"New York, NY",Interior Designer,Other,51-100,Yes,No Overtime,,2000.0,,3,21-25,Female,No,,,,2014-07-01,2014,40.7127281,-74.0060152
5695,6,75000,year,"Los Angeles, CA",Associate,Corporate,201-500,Yes,No Overtime,22.0,,Full-time,8-10,41-45,Male,Yes,,,,2014-07-01,2014,34.0536909,-118.242766
5694,6,52000,year,"New York, NY",Intermediate Designer,,101-200,Yes,No Overtime,,,Full-time,3-5,26-30,Male,No,,,,2014-07-01,2014,40.7127281,-74.0060152
5693,6,65000,year,"San Francisco, CA",Intermediate Designer,Boutique,51-100,Yes,Paid Overtime,20.0,1500.0,Full-time,6-7,31-35,Male,No,,"University of California, Berkeley",,2014-07-01,2014,37.7792588,-122.4193286
5690,7,33000,year,"Dallas, TX",Designer,,501+,,,,,,< 1,21-25,Female,No,,,,2014-06-01,2014,32.7762719,-96.7968559
5688,10,40000,year,"Wenatchee, WA",Project Architect,Boutique,6-10,,,,2500.0,Full-time,11-15,36-40,Female,No,,,,2014-06-01,2014,47.4234599,-120.310349
5687,10,50000,year,"Sacramento, CA",Owner,Corporate,2-5,Yes,No Overtime,60.0,,Full-time,11-15,36-40,Female,Yes,University of Illinois at Urbana-Champaign,NewSchool of Architecture + Design,,2014-06-01,2014,38.5810606,-121.493895
5686,8,68500,year,"Tampa, FL",BIM Specialist,Other,31-50,Yes,Unpaid Overtime,14.0,3500.0,Full-time,11-15,41-45,Male,No,Mississippi State University,,,2014-06-01,2014,27.9477595,-82.458444
5685,10,56000,year,"Raleigh, NC",Intermediate Architect,Corporate,501+,Yes,Unpaid Overtime,14.0,,Full-time,3-5,36-40,Female,Yes,,NC State University School of Design,,2014-06-01,2014,35.7803977,-78.6390989
5683,6,54000,year,"Los Angeles, CA",Job Captain,Boutique,31-50,Yes,Unpaid Overtime,10.0,3000.0,Full-time,3-5,26-30,Female,Yes,University of Southern California (USC),,,2014-06-01,2014,34.0536909,-118.242766
5682,10,32000,year,"Portland, ME",Designer,Boutique,6-10,Yes,Unpaid Overtime,10.0,,Full-time,2,21-25,Female,No,Savannah College of Art and Design,,,2014-06-01,2014,43.6573605,-70.2586618
5681,5,48000,year,"Des Moines, IA",Intern,Corporate,51-100,Yes,Unpaid Overtime,13.0,5000.0,Full-time,3-5,31-35,Male,No,,,,2014-06-01,2014,41.5868654,-93.6249494
5679,8,145000,year,"San Diego, CA",Project Architect,Corporate,501+,Yes,Paid Overtime,21.0,5000.0,Full-time,31-40,51-55,Male,No,University of Florida,University of Florida,,2014-06-01,2014,32.7174202,-117.162772
5678,9,64000,year,"Cambridge, MA",Project Architect,,31-50,Yes,Unpaid Overtime,15.0,7500.0,Full-time,8-10,31-35,Female,Yes,Mount Holyoke College,Boston Architectural College (BAC),,2014-06-01,2014,42.3656347,-71.1040018
